"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-05-15","82.4","-1.04","6.35","Torrens, Luis",663757,605280,"strikeout","called_strike",,,,,2,"Luis Torrens challenged (pitch result), call on the field was overturned: Trent Grisham called out on strikes.","R","L","R","NYM","NYY","S",2,,1,2,2026,"1.7","-0.46",0.12371029961009294,3.252741154916661,,682987,683011,1,4,"Top",,,,,,,-0.744593339249295,-119.95235267196108,0.684119884238191,16.350431556215362,27.018624036680357,-36.96612752752247,3.138385827,1.583858268,,,,"81.2",2938,"5.8",823629,620443,668901,543760,683146,666182,665742,805999,701807,"54.7",,0,"0",1,0,0,,29,4,"Sweeper",0,3,3,0,3,0,3,0,"Standard","Standard",47,"0.018","-0.176",,,,"0.176",,-3,3,0.172,0.8280000000000001,33,29,33,30,3,2,6,2,,1,"3.86","-1.7","1.7","42.1",,,,,
"FF","2026-05-13","93.3","-3.16","5.43","Torrens, Luis",690993,681035,,"called_strike",,,,,4,,"R","L","R","NYM","DET","S",,,0,0,2026,"-0.82","1.44",-0.7408984460924364,2.291563006546821,,,693307,0,5,"Top",,,,,,,8.035205206812238,-135.54318324977467,-5.348518240458162,-11.860653012785471,29.894762950363614,-13.408814046317827,3.27792815,1.654281496,,,,"94",2069,"6.8",823631,620443,668901,543760,683146,666182,621438,805999,701807,"53.68",,,,,,,,37,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Infield shade","Standard",226,"0.005","-0.045",,,,"0.045",,-1,1,0.325,0.675,27,24,27,25,3,2,6,1,5,1,"1.19","0.82","-0.82","30.6",,,,,
"FF","2026-05-13","94.4","-3.12","5.34","Torrens, Luis",663837,681035,,"ball",,,,,11,,"R","R","R","NYM","DET","B",,,0,0,2026,"-0.9","1.3",-0.8522676386276171,2.742299509233974,,,,2,3,"Top",,,,,,,7.956252932339423,-137.074646002877,-3.780754101067676,-13.270786180130218,34.26861512022747,-15.170508136774261,3.273540026,1.652066929,,,,"94.7",2165,"6.9",823631,620443,668901,543760,683146,666182,621438,805999,701807,"53.63",,,,,,,,22,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",222,"-0.001","0.041",,,,"-0.041",,-1,1,0.426,0.5740000000000001,27,29,27,30,2,1,6,1,5,2,"1.29","0.9","0.9","31.1",,,,,
"ST","2026-05-13","79.5","3.41","5.4","Torrens, Luis",663837,548384,,"ball",,,,,14,,"R","R","L","NYM","DET","B",,,1,0,2026,"-1.46","0.13",1.0574793086005372,1.9712709827247896,,693307,,2,10,"Top",,,,,,,-2.269220539334576,-115.61866089582901,-0.6270763729642672,-12.349812041045487,26.456107300460364,-31.143844296647668,3.273540026,1.652066929,,,,"78.1",2939,"5.8",823631,620443,668901,543760,683146,666182,621438,805999,701807,"54.66",,,,,,,,78,2,"Sweeper",2,2,2,2,2,2,2,2,"Standard","Standard",281,"-0.004","0.026",,,,"-0.026",,0,0,0.703,0.29700000000000004,38,29,38,30,1,4,1,1,3,2,"3.55","-1.46","1.46","25.5",,,,,
"FF","2026-05-12","96.2","-3.22","5.23","Alvarez, Francisco",690993,642547,"strikeout","called_strike",,,,,9,"Francisco Alvarez challenged (pitch result), call on the field was overturned: Colt Keith called out on strikes. Kevin McGonigle steals (6) 2nd base.","R","L","R","NYM","DET","S",2,,3,2,2026,"-0.6","1.51",0.6986569663685523,1.9345924070366616,,,805808,1,1,"Top",,,,,,,11.694468438862426,-139.60635468194215,-6.442641491775889,-10.42878809650554,30.881987442203236,-11.133095062386985,3.27792815,1.654281496,,,,"96.7",2468,"6.7",823632,682626,668901,543760,683146,666182,665742,805999,701807,"53.8",,0,"0",1,0,0,,3,8,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",211,"0.024","-0.3",,,,"0.3",,0,0,0.492,0.508,30,24,30,25,1,0,6,2,5,1,"0.97","0.6","-0.6","37.6",,,,,
"ST","2026-05-09","82.8","-1.19","6.31","Alvarez, Francisco",814439,605280,"strikeout","called_strike",,,,,3,"Francisco Alvarez challenged (pitch result), call on the field was overturned: Ryan Waldschmidt called out on strikes.","R","R","R","AZ","NYM","S",2,,2,2,2026,"1.6","-0.37",0.3945898540867956,3.133612622645889,,,,0,3,"Bot",,,,,,,0.38552658229095943,-120.58689269960722,0.19937689250523682,15.4874534588481,25.034979491034317,-36.01954960320463,3.201574803,1.615748032,,,,"81.9",2896,"5.8",825089,682626,668901,543760,683146,666182,665742,621438,701807,"54.74",,0,"0",1,0,0,,22,5,"Sweeper",0,1,0,1,1,0,0,1,"Standard","Standard",47,"-0.024","-0.238",,,,"0.238",,-1,-1,0.433,0.433,33,23,33,24,1,0,6,1,6,1,"3.71","-1.6","-1.6","38.6",,,,,
"SI","2026-05-09","94","-1.1","6.31","Alvarez, Francisco",666971,605280,,"called_strike",,,,,7,,"R","R","R","AZ","NYM","S",,,1,0,2026,"-1.41","0.23",-0.43881244733289126,1.737841479099004,,680728,571448,1,2,"Bot",,,,,,,4.839174895218282,-136.65805977935213,-6.241012458940675,-18.751738034199548,34.30476420601733,-28.031218518942925,3.354281496,1.692814961,,,,"92.5",2135,"5.8",825089,682626,668901,543760,683146,666182,665742,621438,701807,"54.71",,,,,,,,16,2,"Sinker",0,1,0,1,1,0,0,1,"Standard","Standard",236,"-0.01","-0.049",,,,"0.049",,-1,-1,0.496,0.496,33,32,33,33,1,0,6,1,6,2,"2.39","1.41","1.41","40.3",,,,,
"FF","2026-05-09","94.6","-3.13","4.62","Alvarez, Francisco",680728,518886,,"ball",,,,,11,,"R","L","R","AZ","NYM","B",,,1,0,2026,"-1.18","0.95",-0.7576460312668358,3.4564170440092044,,,672695,0,8,"Bot",,,,,,,8.876149464985216,-137.50724286202467,0.6476488167076732,-16.982052955674526,30.748142364559897,-20.44438307606108,3.090994095,1.559940945,,,,"95.5",2372,"6.9",825089,682626,668901,543760,683146,666182,665742,621438,701807,"53.63",,,,,,,,61,2,"4-Seam Fastball",2,1,2,1,1,2,2,1,"Standard","Standard",228,"0.005","0.08",,,,"-0.08",,1,1,0.889,0.889,38,26,38,27,1,3,2,1,5,1,"1.6","1.18","-1.18","24.1",,,,,
"FF","2026-05-08","95.4","-3.56","5.34","Torrens, Luis",672695,690997,,"called_strike",,,,,1,,"R","L","R","AZ","NYM","S",,,0,0,2026,"-0.81","1.12",-0.7019090326228883,2.851235290282432,,,,1,3,"Bot",,,,,,,9.280289380802238,-138.57225370963772,-3.272502246759455,-12.484278591140253,31.324507362738956,-17.19476703560774,3.31742126,1.674212598,,,,"95.4",2151,"6.4",825088,620443,668901,543760,683146,666182,665742,701807,669004,"54.08",,,,,,,,21,1,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",231,"-0.003","-0.043",,,,"0.043",,0,0,0.53,0.53,24,26,25,27,2,1,6,1,6,1,"1.4","0.81","-0.81","30.3",,,,,
"FF","2026-05-08","95.3","-1.48","5.44","Torrens, Luis",672515,596133,"walk","ball",,,,,11,"Luis Torrens challenged (pitch result), call on the field was confirmed: Gabriel Moreno walks.","R","R","R","AZ","NYM","B",,,3,1,2026,"-0.38","1.51",-0.48927064879661547,3.3069784603807757,,,,2,7,"Bot",,,,,,,3.4230063927605423,-138.7756818516679,-3.2468301150078,-5.642830201900042,31.622795844458466,-12.099661191740124,3.071686352,1.55019685,,,,"95.1",2459,"6.2",825088,620443,668901,543760,683146,666182,665742,701807,669004,"54.35",,0.701432,"0.7",1,0,0,,49,5,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",206,"0.012","0.208",,,,"-0.208",,0,0,0.529,0.529,32,26,33,26,1,2,2,1,5,1,"1","0.38","0.38","46.4",,,,,
